====================
Dataset: yahoo
====================

P@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5555555555555556	0.9789922037307075	0.9729629629629629	0.31972222222222224	630.0911251445983
1	0.611111111111111	0.974246202609905	0.9654320987654322	0.3198405349794239	465.28705343630986
2	0.5555555555555556	0.9675417320076057	0.9568569958847734	0.3189351851851851	370.2675750224464
5	0.5555555555555556	0.9284698039886434	0.9171347736625515	0.3193518518518518	245.3449609238519
10	0.611111111111111	0.7305887490088796	0.7911882716049382	0.3217026748971193	111.78080438714959
20	0.6666666666666666	0.42020804011194846	0.6894341563786007	0.34173353909465015	86.70981060280528
50	0.7777777777777777	0.186257085046099	0.6113477366255142	0.3705812757201647	67.42602538016334
100	0.7777777777777777	0.09751784057079285	0.6027520576131685	0.4145164609053497	61.22998915944806
200	0.7222222222222222	0.049931263650613913	0.6247325102880658	0.48099794238683136	75.55524024064633
500	0.7777777777777777	0.020275854114338597	0.6782304526748971	0.5638991769547325	67.49524082420122
1000	0.7222222222222222	0.01019951709876905	0.7262860082304524	0.6409310699588477	61.97106308399383

Recall@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5	0.9789922037307075	0.9729629629629629	0.31972222222222224	633.8295880303384
1	0.5	0.974246202609905	0.9654320987654322	0.3198405349794239	512.2138588948714
2	0.5555555555555556	0.9675417320076057	0.9568569958847734	0.3189351851851851	426.7707036349939
5	0.4444444444444444	0.9284698039886434	0.9171347736625515	0.3193518518518518	236.85945902899235
10	0.611111111111111	0.7305887490088796	0.7911882716049382	0.3217026748971193	150.9031159540228
20	0.6666666666666666	0.42020804011194846	0.6894341563786007	0.34173353909465015	88.94321993169991
50	0.7777777777777777	0.186257085046099	0.6113477366255142	0.3705812757201647	88.10454471002103
100	0.7777777777777777	0.09751784057079285	0.6027520576131685	0.4145164609053497	74.92830895378135
200	0.7222222222222222	0.049931263650613913	0.6247325102880658	0.48099794238683136	73.80716185960478
500	0.7777777777777777	0.020275854114338597	0.6782304526748971	0.5638991769547325	81.95463749086151
1000	0.7777777777777777	0.01019951709876905	0.7262860082304524	0.6409310699588477	84.74735369980402

nDCG@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5	0.9789922037307075	0.6411059670781892	0.31972222222222224	396.9407344498337
1	0.6666666666666666	0.974246202609905	0.5359259259259258	0.3198405349794239	268.408373661199
2	0.6666666666666666	0.9675417320076057	0.4929783950617285	0.3189351851851851	176.62205560396103
5	0.611111111111111	0.9284698039886434	0.4652623456790123	0.3193518518518518	131.6965989312099
10	0.7222222222222222	0.7305887490088796	0.4030298353909465	0.3217026748971193	117.23957711058122
20	0.7777777777777777	0.42020804011194846	0.40417181069958846	0.34173353909465015	77.58601438288913
50	0.7777777777777777	0.186257085046099	0.42967592592592596	0.3705812757201647	60.76780159755757
100	0.7777777777777777	0.09751784057079285	0.4579526748971193	0.4145164609053497	60.217136456194176
200	0.6666666666666666	0.049931263650613913	0.5126800411522634	0.48099794238683136	74.31971656569416
500	0.6666666666666666	0.020275854114338597	0.5848868312757204	0.5638991769547325	68.93096218062254
1000	0.611111111111111	0.01019951709876905	0.6547067901234567	0.6409310699588477	78.31695344312682

FScore@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5555555555555556	0.9789922037307075	0.9729629629629629	0.31972222222222224	601.1279830682234
1	0.5555555555555556	0.974246202609905	0.9654320987654322	0.3198405349794239	444.7209197758055
2	0.5555555555555556	0.9675417320076057	0.9568569958847734	0.3189351851851851	362.79599141897893
5	0.5	0.9284698039886434	0.9171347736625515	0.3193518518518518	223.83060061511168
10	0.611111111111111	0.7305887490088796	0.7911882716049382	0.3217026748971193	120.33959111569861
20	0.6666666666666666	0.42020804011194846	0.6894341563786007	0.34173353909465015	87.80136819501965
50	0.7777777777777777	0.186257085046099	0.6113477366255142	0.3705812757201647	71.08570231318554
100	0.7777777777777777	0.09751784057079285	0.6027520576131685	0.4145164609053497	53.869409931545945
200	0.7777777777777777	0.049931263650613913	0.6247325102880658	0.48099794238683136	74.92318148264927
500	0.7777777777777777	0.020275854114338597	0.6782304526748971	0.5638991769547325	65.33382853406685
1000	0.7222222222222222	0.01019951709876905	0.7262860082304524	0.6409310699588477	65.58778758073473

