====================
Dataset: yahoo
====================

P@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5555555555555556	0.9789922037307075	0.973986625514403	0.3226193415637861	761.8142157066256
1	0.611111111111111	0.9740980821962903	0.9664989711934157	0.322727366255144	522.4300836824053
2	0.611111111111111	0.9673556649331433	0.9571851851851856	0.3227921810699589	359.6690300796525
5	0.6666666666666666	0.9288837213883809	0.9153744855967076	0.323329218106996	187.98345487440392
10	0.6666666666666666	0.7252804454455373	0.7876718106995885	0.32597222222222216	123.37296392802205
20	0.7222222222222222	0.4190904133971107	0.677130658436214	0.3396779835390946	64.50382913019587
50	0.8333333333333333	0.18673063849452057	0.6139382716049382	0.38364814814814807	74.1164901759901
100	0.8333333333333333	0.09733045285020872	0.6111358024691358	0.434809670781893	68.8562927236855
200	0.7777777777777777	0.04978167282091411	0.6366718106995886	0.4927314814814815	77.90126748264774
500	0.6666666666666666	0.02020024864507429	0.6847119341563788	0.5738024691358024	76.54112069006645
1000	0.7222222222222222	0.010199517098769048	0.7281008230452676	0.6434475308641976	70.78829648035493

Recall@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.611111111111111	0.9789922037307075	0.973986625514403	0.3226193415637861	800.2754739873433
1	0.5555555555555556	0.9740980821962903	0.9664989711934157	0.322727366255144	779.1109689237098
2	0.611111111111111	0.9673556649331433	0.9571851851851856	0.3227921810699589	539.534920616848
5	0.6666666666666666	0.9288837213883809	0.9153744855967076	0.323329218106996	255.06025853595543
10	0.611111111111111	0.7252804454455373	0.7876718106995885	0.32597222222222216	153.1623533562464
20	0.7222222222222222	0.4190904133971107	0.677130658436214	0.3396779835390946	107.64393712126255
50	0.8333333333333333	0.18673063849452057	0.6139382716049382	0.38364814814814807	74.83776066448485
100	0.8333333333333333	0.09733045285020872	0.6111358024691358	0.434809670781893	64.26205358634597
200	0.7777777777777777	0.04978167282091411	0.6366718106995886	0.4927314814814815	71.43200519600022
500	0.7222222222222222	0.02020024864507429	0.6847119341563788	0.5738024691358024	79.44145458040512
1000	0.7222222222222222	0.010199517098769048	0.7281008230452676	0.6434475308641976	81.71553624373921

nDCG@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.4444444444444444	0.9789922037307075	0.6427705761316873	0.3226193415637861	386.3019172262168
1	0.7222222222222222	0.9740980821962903	0.5395483539094648	0.322727366255144	307.8649780636151
2	0.7777777777777777	0.9673556649331433	0.4966862139917695	0.3227921810699589	192.29966877763349
5	0.7222222222222222	0.9288837213883809	0.44523662551440324	0.323329218106996	100.79684588465835
10	0.7777777777777777	0.7252804454455373	0.41719032921810706	0.32597222222222216	62.83797566091595
20	0.7777777777777777	0.4190904133971107	0.4099495884773663	0.3396779835390946	73.59833785131613
50	0.7777777777777777	0.18673063849452057	0.43540740740740735	0.38364814814814807	79.71167610620235
100	0.7222222222222222	0.09733045285020872	0.4755432098765431	0.434809670781893	77.72300364798944
200	0.7777777777777777	0.04978167282091411	0.5236759259259259	0.4927314814814815	60.31571208767805
500	0.611111111111111	0.02020024864507429	0.5934537037037038	0.5738024691358024	77.54967763428336
1000	0.611111111111111	0.010199517098769048	0.6570030864197532	0.6434475308641976	77.01011937217616

FScore@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.611111111111111	0.9789922037307075	0.973986625514403	0.3226193415637861	722.4900954379475
1	0.5555555555555556	0.9740980821962903	0.9664989711934157	0.322727366255144	523.2645354039188
2	0.611111111111111	0.9673556649331433	0.9571851851851856	0.3227921810699589	367.9169192846586
5	0.6666666666666666	0.9288837213883809	0.9153744855967076	0.323329218106996	191.28908930432772
10	0.6666666666666666	0.7252804454455373	0.7876718106995885	0.32597222222222216	127.23251410683605
20	0.7222222222222222	0.4190904133971107	0.677130658436214	0.3396779835390946	68.37018915820028
50	0.8333333333333333	0.18673063849452057	0.6139382716049382	0.38364814814814807	72.16674069808079
100	0.8333333333333333	0.09733045285020872	0.6111358024691358	0.434809670781893	57.94828167030607
200	0.7777777777777777	0.04978167282091411	0.6366718106995886	0.4927314814814815	74.42976094222531
500	0.6666666666666666	0.02020024864507429	0.6847119341563788	0.5738024691358024	71.28866254030558
1000	0.7222222222222222	0.010199517098769048	0.7281008230452676	0.6434475308641976	70.9297494384769

