30	313	5	885941156
30	319	4	875060217
30	321	4	875988547
30	403	2	875061066
30	531	5	885941156
30	538	4	885941798
30	539	3	885941454
30	678	2	885942002
30	873	1	875061066
30	892	4	884310496
30	286	5	885941156
30	259	4	875058280
30	258	5	885941156
30	2	3	875061066
30	7	4	875140648
30	29	3	875106638
30	50	3	875061066
30	69	5	885941156
30	82	4	875060217
30	135	5	885941156
30	1007	5	885941156
30	172	4	875060742
30	174	5	885941156
30	181	4	875060217
30	231	2	875061066
30	242	5	885941156
30	255	4	875059984
30	257	4	885941257
30	164	4	875060217
30	1013	3	875060334
30	780	4	875060217
52	121	4	882922382
52	333	4	882922038
52	405	4	882922610
52	463	5	882922927
52	471	4	882922562
52	473	4	882922661
52	475	4	882922357
52	126	5	882922589
52	527	5	882922927
52	531	5	882922833
52	657	5	882922833
52	741	4	882922302
52	742	4	882922540
52	748	4	882922629
52	845	5	882922485
52	864	3	882922661
52	919	5	882922140
52	302	4	882922065
52	288	3	882922454
52	498	5	882922948
52	285	5	882922227
52	117	4	882922629
52	116	4	882922328
52	287	5	882922357
52	107	4	882922540
52	93	4	882922357
52	19	5	882922407
52	15	5	882922204
52	13	5	882922485
52	7	5	882922204
52	111	4	882922357
52	191	5	882923031
52	151	5	882922249
52	282	4	882922302
52	258	5	882922065
52	280	3	882922806
52	250	3	882922661
52	237	4	882922227
52	235	2	882922806
52	204	4	882923012
52	257	3	882922806
57	222	5	883698581
57	250	3	883697223
57	237	4	883697182
57	243	3	883696547
57	245	4	883696709
57	248	5	883697223
57	249	5	883697704
57	282	5	883697223
57	258	5	883698581
57	264	2	883696672
57	271	3	883696672
57	284	3	883697158
57	294	4	883696547
57	295	5	883698581
57	199	5	883698646
57	257	5	883698580
57	195	3	883698431
57	318	5	883698580
57	8	4	883698292
57	11	3	883698454
57	24	3	883697459
57	50	5	883697105
57	64	5	883698431
57	79	5	883698495
57	100	5	883698581
57	109	4	883697293
57	117	4	883697512
57	121	4	883697432
57	125	3	883697223
57	126	3	883697293
57	151	3	883697585
57	168	3	883698362
57	173	5	883698408
57	194	4	883698272
57	321	4	883696629
57	1094	2	883697990
57	405	4	883697459
57	833	4	883697705
57	844	2	883697134
57	864	3	883697512
57	871	3	883697536
57	930	2	883698039
57	975	3	883697990
57	988	4	883696785
57	1001	1	883698039
57	1011	3	883697761
57	1016	4	883697730
57	1028	3	883697432
57	1047	4	883697679
57	1059	3	883697432
57	1073	3	883698525
57	1093	3	883697352
57	7	4	883697105
57	1096	3	883697940
57	826	2	883697990
57	323	3	883696709
57	825	1	883697761
57	763	5	883698581
57	410	3	883697378
57	411	4	883697679
57	419	3	883698454
57	456	3	883698083
57	471	4	883697134
57	472	1	883697253
57	473	3	883697916
57	475	2	883697223
57	476	3	883697990
57	477	4	883697655
57	597	3	883697378
57	678	3	883696547
57	682	3	883696824
57	710	3	883698324
57	717	4	883697960
57	744	5	883698581
57	756	3	883697730
57	760	2	883697617
57	820	3	883698039
57	1	5	883698581
67	1052	3	875379419
67	1047	3	875379750
67	871	3	875379594
67	827	3	875379322
67	756	3	875379566
67	743	4	875379445
67	546	3	875379288
67	472	4	875379706
67	412	1	875379540
67	405	5	875379794
67	276	4	875379515
67	273	4	875379288
67	235	3	875379643
67	151	4	875379619
67	147	3	875379357
67	125	4	875379643
67	122	3	875379566
67	105	4	875379683
67	25	4	875379420
67	1095	4	875379287
67	7	5	875379794
101	846	3	877135914
101	845	3	877136302
101	840	3	877136659
101	831	3	877136954
101	826	3	877136686
101	820	3	877136954
101	819	1	877136424
101	815	3	877136392
101	1	3	877136039
101	7	3	877135944
101	109	2	877136360
101	111	2	877136686
101	117	4	877136067
